id,grade,name,desc
0,0,평범한 하루,아무 일도 일어나지 않는다. 잠시 휴식만 취한다.
1,0,길가의 지폐,길가에서 구겨진 지폐를 발견했다. 소량의 골드를 얻는다.
2,0,낡은 상자,낡고 녹슨 상자를 발견했다. 안에는 자잘한 자원이 들어 있다.
3,0,잡동사니 발견,쓸만한 듯 안 쓸만한 듯한 잡동사니를 주웠다.

10,1,상인의 마차,수상하지만 매력적인 상인의 마차를 만났다. 골드로 카드를 교환할 수 있다.
11,1,반짝이는 호박석,신비한 빛을 내는 호박석을 발견했다. 특정 카드가 강화될지도 모른다.

20,2,고대의 유적(전투),고대의 유적을 조사하다가 수호자와 전투에 돌입한다.
21,2,정령의 장난(특성 상호작용),정령들이 카드의 특성을 뒤섞는다. 예기치 못한 결과가 나온다.
22,2,붉은 달의 밤,붉은 달이 떠오른 밤. 일부 카드가 일시적으로 광폭화된다.

30,3,드래곤의 흔적,거대한 드래곤의 흔적을 발견했다. 강력한 전투나 큰 보상이 기다린다.

40,4,창조주의 시선,세계를 관통하는 시선이 느껴진다. 매우 강력한 보상 또는 위협이 다가온다.

